"id","name","pos","length","function_name","table_name","field_name"
"__export__.onpoint_seba_spec_313_c298fc10","block2_alarm_ch3_weekdays","292","1","read_data","logger_channel_alarms","weekdays"
"__export__.onpoint_seba_spec_314_1b5d3493","block2_alarm_ch3_ex_lower_treshold","293","2","read_data","logger_channel_alarms","ex_lower_treshold"
"__export__.onpoint_seba_spec_315_6afedb83","block2_alarm_ch3_ex_upper_treshold","295","2","read_data","logger_channel_alarms","ex_upper_treshold"
"__export__.onpoint_seba_spec_316_f0888e2b","block2_alarm_ch3_ex_start","297","2","read_data","logger_channel_alarms","ex_start"
"__export__.onpoint_seba_spec_317_d99d49f3","block2_alarm_ch3_ex_stop","299","2","read_data","logger_channel_alarms","ex_stop"
"__export__.onpoint_seba_spec_318_fb6c9158","block2_alarm_ch3_ex_hysteresis","301","1","read_data","logger_channel_alarms","ex_hysteresis"
"__export__.onpoint_seba_spec_319_b8a37ea7","block2_alarm_ch3_ex_debounce","302","1","read_data","logger_channel_alarms","ex_debounce"
"__export__.onpoint_seba_spec_320_fa836db8","block2_alarm_ch3_ex_weekdays","303","1","read_data","logger_channel_alarms","ex_weekdays"
"__export__.onpoint_seba_spec_321_150df7cc","block2_alarm_ch4_set_status","304","1","read_data","logger_channel_alarms","status"
"__export__.onpoint_seba_spec_322_6835cf9a","block2_alarm_ch4_lower_treshold","305","2","read_data","logger_channel_alarms","lower_treshold"
"__export__.onpoint_seba_spec_323_29a8cff7","block2_alarm_ch4_upper_treshold","307","2","read_data","logger_channel_alarms","upper_treshold"
"__export__.onpoint_seba_spec_324_87040f71","block2_alarm_ch4_hysteresis","309","1","read_data","logger_channel_alarms","hysteresis"
"__export__.onpoint_seba_spec_325_9197268a","block2_alarm_ch4_debounce","310","1","read_data","logger_channel_alarms","debounce"
"__export__.onpoint_seba_spec_326_a88a3919","block2_alarm_ch4_weekdays","311","1","read_data","logger_channel_alarms","weekdays"
"__export__.onpoint_seba_spec_327_bfe52875","block2_alarm_ch4_ex_lower_treshold","312","2","read_data","logger_channel_alarms","ex_lower_treshold"
"__export__.onpoint_seba_spec_328_fa112b66","block2_alarm_ch4_ex_upper_treshold","314","2","read_data","logger_channel_alarms","ex_upper_treshold"
"__export__.onpoint_seba_spec_329_1f5dd0c5","block2_alarm_ch4_ex_start","316","2","read_data","logger_channel_alarms","ex_start"
"__export__.onpoint_seba_spec_330_d6cda61f","block2_alarm_ch4_ex_stop","318","2","read_data","logger_channel_alarms","ex_stop"
"__export__.onpoint_seba_spec_331_b457187b","block2_alarm_ch4_ex_hysteresis","320","1","read_data","logger_channel_alarms","ex_hysteresis"
"__export__.onpoint_seba_spec_332_9f77f185","block2_alarm_ch4_ex_debounce","321","1","read_data","logger_channel_alarms","ex_debounce"
"__export__.onpoint_seba_spec_333_42ad03bd","block2_alarm_ch4_ex_weekdays","322","1","read_data","logger_channel_alarms","ex_weekdays"
"__export__.onpoint_seba_spec_334_82a9b30f","block2_comment","323","128","read_data","NULL","comment"
"__export__.onpoint_seba_spec_335_6c14a39d","block3_length","451","1","read_data","NULL","length"
"__export__.onpoint_seba_spec_336_0c28d7fd","block3_code","452","1","read_data","NULL","code"
"__export__.onpoint_seba_spec_337_2c33fa28","block3_status_register","453","1","read_data","NULL","status_register"
"__export__.onpoint_seba_spec_338_37f1ae39","block3_logger_id","454","3","read_data","NULL","logger_id"
"__export__.onpoint_seba_spec_339_d199461d","block3_config_packet_number","457","1","read_data","NULL","config_packet_number"
"__export__.onpoint_seba_spec_340_4267ed2c","block3_gsm_flags","458","4","read_data","logger_communications","gsm_flags"
"__export__.onpoint_seba_spec_341_f1218a8d","block3_sim_pin","462","8","read_data","NULL","sim_pin"
"__export__.onpoint_seba_spec_342_60dd4fd4","block3_sms_receiver1","470","16","read_string","logger_communications","sms_receiver1"
"__export__.onpoint_seba_spec_343_c041e536","block3_sms_receiver2","486","16","read_string","logger_communications","sms_receiver2"
"__export__.onpoint_seba_spec_344_d720cd95","block3_sms_receiver3","502","16","read_string","logger_communications","sms_receiver3"
"__export__.onpoint_seba_spec_345_591356f9","block3_sms_interval_flag","518","1","read_data","logger_communications","interval_status_sms_flags"
"__export__.onpoint_seba_spec_346_fc1ec84e","block3_sms_interval_weekdays","519","1","read_data","logger_communications","interval_status_sms_weekdays"
"__export__.onpoint_seba_spec_347_740d94bc","block3_sms_interval_hour","520","1","read_data","logger_communications","interval_status_sms_hour"
"__export__.onpoint_seba_spec_348_8508ca75","block3_sms_interval_minute","521","1","read_data","logger_communications","interval_status_sms_minute"
"__export__.onpoint_seba_spec_349_f40d9901","block3_gprs_server","522","50","read_data","","gprs_server"
"__export__.onpoint_seba_spec_350_2db388ad","block3_gprs_username","572","50","read_string","","gprs_username"
"__export__.onpoint_seba_spec_351_e518d3a8","block3_gprs_password","622","50","read_string","","gprs_password"
"__export__.onpoint_seba_spec_352_8179f6c9","block3_gprs_dns1","672","16","read_string","","gprs_dns1"
"__export__.onpoint_seba_spec_353_7c6fa596","block3_gprs_dns2","688","16","read_string","","gprs_dns2"
"__export__.onpoint_seba_spec_354_33a59b53","block4_length","704","1","read_data","","length"
"__export__.onpoint_seba_spec_355_2db85ca0","block4_code","705","1","read_data","","code"
"__export__.onpoint_seba_spec_356_8d4c1740","block4_status_register","706","1","read_data","","status_register"
"__export__.onpoint_seba_spec_357_038441ed","block4_logger_id","707","3","read_data","","logger_id"
"__export__.onpoint_seba_spec_358_0bf8a31a","block4_config_packet_number","710","1","read_data","","config_packet_number"
"__export__.onpoint_seba_spec_359_d4825e6d","block4_smtp_port","711","2","read_data","","smtp_port"
"__export__.onpoint_seba_spec_360_873f569a","block4_smtp_server","713","32","read_string","","smtp_server"
"__export__.onpoint_seba_spec_361_1714aa1b","block4_email_sender","745","50","read_string","","email_sender"
"__export__.onpoint_seba_spec_362_118edb88","block4_email_domain","795","50","read_string","","email_domain"
"__export__.onpoint_seba_spec_363_33e657c9","block4_email_username","845","50","read_string","","email_username"
"__export__.onpoint_seba_spec_364_93db1b59","block5_length","895","1","read_data","","length"
"__export__.onpoint_seba_spec_365_adaf20a4","block5_code","896","1","read_data","","code"
"__export__.onpoint_seba_spec_366_4a2836d8","block5_status_register","897","1","read_data","","status_register"
"__export__.onpoint_seba_spec_367_06dcafbb","block5_logger_id","898","3","read_data","","logger_id"
"__export__.onpoint_seba_spec_368_8b1d59a6","block5_config_packet_number","901","1","read_data","","config_packet_number"
"__export__.onpoint_seba_spec_369_a0ea4170","block5_email_password","902","50","read_string","","email_password"
"__export__.onpoint_seba_spec_370_3f28990d","block5_email_receiver1","952","50","read_string","logger_communications","email_receiver1"
"__export__.onpoint_seba_spec_371_a24dd1fc","block5_email_receiver2","1002","50","read_string","logger_communications","email_receiver2"
"__export__.onpoint_seba_spec_372_5005a12d","block5_email_interval_flag","1052","1","read_data","logger_communications","interval_status_email_flags"
"__export__.onpoint_seba_spec_373_28f80f9f","block5_email_interval_weekdays","1053","1","read_data","logger_communications","interval_status_email_weekdays"
"__export__.onpoint_seba_spec_374_dcb1c3d3","block5_email_interval_hour","1054","1","read_data","logger_communications","interval_status_email_hour"
"__export__.onpoint_seba_spec_375_69817b04","block5_email_interval_minute","1055","1","read_data","logger_communications","interval_status_email_minute"
"__export__.onpoint_seba_spec_376_ad46b6cc","block6_length","1056","1","read_data","","length"
"__export__.onpoint_seba_spec_377_e6929a8f","block6_code","1057","1","read_data","","code"
"__export__.onpoint_seba_spec_378_534656f4","block6_status_register","1058","1","read_data","","status_register"
"__export__.onpoint_seba_spec_379_551953c9","block6_logger_id","1059","3","read_data","","logger_id"
"__export__.onpoint_seba_spec_380_d7bf7a36","block6_config_packet_number","1062","1","read_data","","config_packet_number"
"__export__.onpoint_seba_spec_381_92ddbe85","block6_ftp_port","1063","2","read_data","","ftp_port"
"__export__.onpoint_seba_spec_382_f9d57336","block6_ftp_server","1065","50","read_string","","ftp_server"
"__export__.onpoint_seba_spec_383_4086d652","block6_ftp_username","1115","50","read_string","","ftp_username"
"__export__.onpoint_seba_spec_384_89706ac1","block6_ftp_password","1165","50","read_string","","ftp_password"
"__export__.onpoint_seba_spec_385_3b864a6d","block6_ftp_interval_flags","1215","1","read_data","logger_communications","interval_ftp_flags"
"__export__.onpoint_seba_spec_386_075d7c95","block6_ftp_interval_weekdays","1216","1","read_data","logger_communications","interval_ftp_weekdays"
"__export__.onpoint_seba_spec_387_d3060bf5","block6_ftp_interval_hour1_upload","1217","1","read_data","logger_communications","interval_hour1_upload"
"__export__.onpoint_seba_spec_388_df615407","block6_ftp_interval_min1_upload","1218","1","read_data","logger_communications","interval_min1_upload"
"__export__.onpoint_seba_spec_389_2d9622ca","block6_ftp_interval_hour2_upload","1219","1","read_data","logger_communications","interval_hour2_upload"
"__export__.onpoint_seba_spec_390_f5b0669e","block6_ftp_interval_min2_upload","1220","1","read_data","logger_communications","interval_min2_upload"
